"","score","text"
"28",0,"RT @PPact: #TX Gov. Rick Perry: Outlawing All Access To #Abortion Is ‘My Goal’ http://t.co/UWk2448R via @ThinkProgress"
"29",-4,"As the President mourns the tragic lost children in #Newtown, will he also grieve those who have lost their lives by way of #abortion?"
"30",-1,"2012 Victories: State Hospitals Can’t Force Nurses to Abort Children  http://t.co/gYiv8Ilf via @ACLJ #prolife #prochoice #abortion"
"31",1,"#guncontrol feels like my generation's #abortion. Starting to think the two sides will argue about this for my lifetime."
"32",-1,"James Dobson: God 'Has Allowed Judgment To Fall Upon Us' For #Gay Marriage, #Abortion http://t.co/o9lOIOsv #religion #LGBT"
"33",0,"RT @LiveActionFilms: Yet another in the opposition to #abortion-loving #ObamaCare! Business owners would like to keep their consciences. http://t.co/TPQD29ou"
"34",0,"W/ the way Obama was acting talking about Sandy, you'd think he would be crying outside #Abortion clinics #war #tcot #LNYHBT"
"35",0,"RT @Vote4Wallace: #Prenatal Testing: A Double-Edged Sword Leading to #Abortion [then #Genocide] http://t.co/tUL2dvwH #Life #Prolife #ObamaCare #Medical #HHS"
"36",-1,"@ShantaCovington where do Dobson and others get this stuff? What in the world do those babies have to do with #ssm and #abortion? Ridiculous"
"37",1,"""They Want Us to Be Silent"" ~ Luke Robinson http://t.co/mRNRrhuK #Abortion #NewYorkGenocide #ProLife"
"38",-1,"RT @jcbyoung: An estimated 1.2million babies were aborted in the #US in 2011. Is it finally time for them to review their #abortion law? #america #prolife"
"39",-1,"An estimated 1.2million babies were aborted in the #US in 2011. Is it finally time for them to review their #abortion law? #america #prolife"
"40",-1,"@GOPLeader Perhaps you can get Congress to have a moment of silence at the end of the year for all the little children lost to #abortion?"
"41",0,"Yet another in the opposition to #abortion-loving #ObamaCare! Business owners would like to keep their consciences. http://t.co/TPQD29ou"
"42",-2,"@LtlRedX no child died in the name of the second amendment but in the name of #murder, akin to #abortion."
"43",-3,"How can you claim to care about the lives of #children yet support their #death in the #womb. #Abortion #insane #hypocrisy #murder"
"44",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"45",2,"Which children are more worthy of protection: kindergarteners or the unborn? #abortion #newtown #ideashaveconsequences"
"46",0,"I hate the term ""slippery slope"" used in pretty much any argument #abortion #euthanasia #gunrights"
"47",-3,"Today in the USA between 3000 and 4000 innocent, defenceless children were brutally killed. #abortion #sad"
"48",-1,"RT @StevenErtelt: Business Loses First Fight Against HHS Mandate, Battle Continues http://t.co/J14E0dqr #abortion pro-life #tcot"
"49",-1,"What if the POTUS showed up at a vigil and stated that he would use every power of his office to stop THIS tragedy? #Abortion"
"50",-2,"RT @joliefrenchxit: abortion
tcot
Do u know every 3 days, more blacks r killed by #abortion than have been killed by the KKK in its entire history #tcot"
"51",-1,"Business Loses First Fight Against HHS Mandate, Battle Continues http://t.co/EduTbsDe #abortion pro-life #tcot"
"52",-1,"Business Loses First Fight Against HHS Mandate, Battle Continues http://t.co/J14E0dqr #abortion pro-life #tcot"
"53",-2,"abortion
tcot
Do u know every 3 days, more blacks r killed by #abortion than have been killed by the KKK in its entire history #tcot"
"54",-1,"""These tragedies must end, and to end them we must change,"" President #Obama #Clinton http://t.co/PGtXOeJn 
#Abortion #Genocide #PiersMorgan"
"55",1,"O Wisdom, O Sapientia http://t.co/UJ84UoiS #abortion #prolife"
"56",1,"O Wisdom, O Sapientia http://t.co/pcNfOOUQ #abortion"
"57",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"58",-1,"RT @RHTPorg: RHTP's @morgmeneshets voted4 her daughter &amp;2 stop denying #abortion coverage. RT <U+200F>@amprog VIDEO:What women voted4 in 12 http://t.co/GyZS4T3e"
"59",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"60",1,"PROGRESS. Majority of Voters in #Indiana Want #Abortion to Remain Legal http://t.co/h0JSPq14 #M408 #M312 #USPOli #prochoice = #prolife #tcot"
"61",0,"RT @ATTWNministry: We can't wait to see how many #abortion workers quit in the next few months, especially during @40daysforlife!! #prolife #prochoice"
"62",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"63",0,"We can't wait to see how many #abortion workers quit in the next few months, especially during @40daysforlife!! #prolife #prochoice"
"64",0,"RT @ATTWNministry: If you want some fliers to hand to #abortion workers, email abby@abbyjohnson.org with your mailing address. #prochoice #prolife"
"65",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"66",-2,"RT @ATTWNministry: The #abortion clinic that SIX workers have left admits business is slow. We won't stop until their business is nonexistent. #prolife"
"67",0,"If you want some fliers to hand to #abortion workers, email abby@abbyjohnson.org with your mailing address. #prochoice #prolife"
"68",1,"RT @LiveActionFilms: Looks like pro- #abortion folks are getting upset by ""converted"" abortion workers. Probably because they're effective. http://t.co/ZiOaLAAF"
"69",1,"RT @HarliceSurel: #ICCL now the lead campaigner for #abortion in #ireland funded with millions from abroad. #prolife #savita"
"70",-4,"Angels were killed by an insane guy. other angels are killed everyday by their own parents and doctors. who is worse?  #Newtown #abortion"
"71",0,"@skearon Medical doctors follow dogmas such as taking the Hippocratic Oath that prompts them to heal people not kill children with #abortion"
"72",-2,"The #abortion clinic that SIX workers have left admits business is slow. We won't stop until their business is nonexistent. #prolife"
"73",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"74",-1,"""#Abortion cannot b murder of a #child because I cannot bear to recognize myself as supporter of child murder""&lt;#Thinking process of inferior"
"75",-2,"Kenya's restrictive #abortion laws offer a cautionary tale for US War on Women @abbyhiggins reports from Nairobi http://t.co/3Fe3RTxL"
"76",-2,"abortion
tcot
Do u know every 3 days, more blacks r killed by #abortion than have been killed by the KKK in its entire history #tcot"
"77",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"78",1,"RT @ALawrence_: #Abortion control is more important than #gun control but don't tell the #left that. #liberals #usa #truth #democrats #republicans"
"79",1,"RT @HarliceSurel: #ICCL now the lead campaigner for #abortion in #ireland funded with millions from abroad. #prolife #savita"
"80",1,"RT @deniseromano RT to ask @secupp  why she &amp;amp; other gun owners don't guard all #abortion clinics to protect the 14th amendment guaran..."
"81",1,"RT @deniseromano RT to ask @handgundefense why he &amp;amp; other gun owners don't guard all #abortion clinics to protect the 14th amendment ..."
"82",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"83",1,"RT @ACLJ: Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"84",1,"Can’t force nurses to commit #abortion http://t.co/jLiORDfv ACLJ victory for #ReligiousLiberty &amp; #ProLife #Life"
"85",-1,"@heatherr_parker #abortion linked to 6 times increase in suicide Gissler M, Berg C, Bouvier-Colle MH 2004 Nov;18(6):448-55. #legislateforx"
"86",1,"Hey @TimTebow, nice company you keep. | #FocusontheFamily Founder Blames CT Shootings on #GayMarriage &amp; #Abortion - http://t.co/MU1LfR4E"
"87",-1,"RT @EdForChoice: ""Unplanned pregnancy is not a marker of irresponsibility - it's a fact of life"" @bpas1968 on #abortion stigma http://t.co/K0HNwpZV"
"88",0,"Silos no more: Shaping alliances for #reprojustice http://t.co/4o49wlXR via @feministing #prochoice #reprorights #fem2 #abortion"
"89",0,"RT @Blackhall99: Enda Kenny reiterates his pledge to act on #abortion.  Cabinet decision to use legislation expected tomorrow. #savita  http://t.co/PmRXf0mm"
"90",-2,"@sashh #HSE has been found to be giving dangerous and incorrect information to women about #abortion. Question their motives."
"91",-1,"RT @ATTWNministry: We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"92",0,"RT to ask @deniseromano to quote the clause in the 14th Amendment that ""guarantees abortion"". #prolife #prochoice #abortion"
"93",-1,"RT @airo_cross: Urgent: #Whitehouse Petition for the Immediate Abolition of #Abortion : http://t.co/JSNiFK0g #prolife #Obama #children #life"
"94",-2,"Immediately Abolish the Legalized Murder of Pre-born #Children http://t.co/PXoSNijN #abortion #prolife #prochoice #Obama #life #America"
"95",1,"RT @ProLifeStuff: New Short Film Will Change Hearts: I Like Adoption http://t.co/N9ZORC45 pro-life #prolife #abortion"
"96",0,"RT @StevenErtelt: Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/ieWapkZX pro-life #abortion #prolife"
"97",-1,"@skearon a minority of ministers #jamesreilly are determined to force #abortion into #ireland in a truly #fascist way"
"98",0,"Why anti- #abortion laws aren't stopping any abortions in #Kenya. @abbyhiggins reports on the ongoing #WarOnWomen http://t.co/hyQbpC5L"
"99",0,"Silver Lining:  the wing-nuts can now be ignored http://t.co/23ISvqQ0
#JamesDobson #gays #abortion #FocusontheFamily #shootings #Newtown"
"100",-1,"Urgent: #Whitehouse Petition for the Immediate Abolition of #Abortion : http://t.co/JSNiFK0g #prolife #Obama #children #life"
"101",1,"#ICCL now the lead campaigner for #abortion in #ireland funded with millions from abroad. #prolife #savita"
"102",-1,"RT @ATTWNministry: We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"103",-1,"RT @ATTWNministry: We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"104",0,"RT @deniseromano: RT to ask @MidwayUSA why they &amp; other gun owners do not guard all #abortion (cont) http://t.co/748OtKIQ"
"105",0,"RT @h0peis_near: @Blondey_chickk is a faggot cause her name is blondey chick #abortion"
"106",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"107",0,"RT @mary_o_regan: Group of medics defend Irish medical guidelines and say they would rather give up medicine than perform an #abortion. http://t.co/CiklMAZk"
"108",-3,".@harlicesurel ""She had a long history of anxiety &amp; depression.""There is no statistical correlation b/w #abortion &amp; #suicide risk #prochoice"
"109",0,"11 things harder to get than a #gun in the #USA http://t.co/OShaxnpZ including #abortion"
"110",0,"Enda Kenny reiterates his pledge to act on #abortion.  Cabinet decision to use legislation expected tomorrow. #savita  http://t.co/PmRXf0mm"
"111",0,"Assaulting the most innocent #abortion http://t.co/LxgUKJMt"
"112",-1,"RT @UniteWomenOrg: RT .@crankyfatfem: not the onion: ""#Huckabee Blames ‘Tax-Funded #Abortion Pills’ For #Newtown #Massacre"" http://t.co/czmnA47X"
"113",-1,"RT @joemessina: We're perpetuating a culture of #death. need 2teach #life. Not #abortion #zombies #skullandcrossbones. @DrGinaLoudon"
"114",2,"RT @DekoDD: @familyandmedia #Abortion #ICCL charity - Irish Trust for Civil Liberties, Human Rights and Fundamental Freedoms received $190,245 in 2010"
"115",1,"RT @LiveActionFilms: Looks like pro- #abortion folks are getting upset by ""converted"" abortion workers. Probably because they're effective. http://t.co/ZiOaLAAF"
"116",-1,"We are perpetuating a culture of #death. We need to teach the value of #life. Not #abortion #zombies #skullandcrossbones. @DrGinaLoudon"
"117",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"118",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"119",-1,"While we're talking about banning things that kill children,how about #Abortion? #ThoseBabiesDidntStandAChanceEither#JustSayin'  @glennbeck"
"120",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"121",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"122",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"123",-2,"I'll consider making #guns illegal when you Libtards consider making #Abortion illegal.  #guncontrol"
"124",1,"RT @StevenErtelt: New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"125",1,"New Short Film Will Change Hearts: I Like Adoption http://t.co/1maEEnpf pro-life #prolife #abortion"
"126",1,"New Short Film Will Change Hearts: I Like Adoption http://t.co/N9ZORC45 pro-life #prolife #abortion"
"127",-1,"RT @ATTWNministry: We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"128",0,"RT @EdForChoice: Christmas cards for choice http://t.co/dcldCmlp #Savita #abortion #prochoice"
"129",1,"RT @kaysteiger: RT @rhrealitycheck: What If We Regulated Guns and Ammunition Like We Regulate #Abortion? http://t.co/CNyI0QaA"
"130",0,"RT @EdForChoice: Christmas cards for choice http://t.co/dcldCmlp #Savita #abortion #prochoice"
"131",-2,"Mike #Huckabee Puts Blame For #Newtown Massacre On #Abortion Pills, Where It Belongs http://t.co/0aVAN4AZ"
"132",-1,"RT @HarliceSurel: #abortion linked to 6 times increase in suicide Gissler M, Berg C, Bouvier-Colle MH 2004 Nov;18(6):448-55. #legislateforx #prochoice_ie"
"133",-1,"Apparently it does bother us more when they use #guns. #newtown #abortion http://t.co/1GGXgw3I"
"134",2,"RT @clumperino: RT @ESRANUKI: #Abortion must be decriminalised and made safely available to women,UN Rapporteur on the #righttohealth http://t.co/tkfgfnUg"
"135",2,"RT @ESRANUKI: #Abortion must be decriminalised and made safely available to women,UN Rapporteur on the #righttohealth http://t.co/tkfgfnUg"
"136",-1,"RT @ATTWNministry: We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"137",-1,"We've had SIX workers from ONE #abortion clinic come to us now. We have proof of ""slowed business"" at that clinic, too! #prolife #prochoice"
"138",0,"Where are the Targeted Regulation of Ammunition Providers bills? http://t.co/o7s70uqi #TRAPlaws #guncontrol #abortion #prochoice"
"139",0,"New Florida #ProLife #Personhood Amendment Petition Launched by @PersonhoodFL http://t.co/SAFlrCjE End #Abortion NOW!"
"140",-1,"Five #Backward #States Where It’s Harder To Get An #Abortion Than It Is To Get A #Gun http://t.co/qKzG6M0U"
"141",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"142",-3,"RT @notcreative388: .@Forbidden_Truth 

That’s YOUR truth. There is no single truth. As soon as you make #abortion illegal you condemn women to die."
"143",0,"RT @mary_o_regan: Group of medics defend Irish medical guidelines and say they would rather give up medicine than perform an #abortion. http://t.co/CiklMAZk"
"144",0,"RT @mary_o_regan: Group of medics defend Irish medical guidelines and say they would rather give up medicine than perform an #abortion. http://t.co/CiklMAZk"
"145",-1,"RT @crankyfatfem: not the onion: ""#Huckabee Blames ‘Tax-Funded #Abortion Pills’ For #Newtown #Massacre"" http://t.co/2jgJ2uRE"
"146",0,"RT @mary_o_regan: Group of medics defend Irish medical guidelines and say they would rather give up medicine than perform an #abortion. http://t.co/CiklMAZk"
"147",2,"FG TD: allow free vote on abortion, state should first protect woman's rights then unborn child's. #abortion #ireland http://t.co/czEDzKvA"
"148",0,"Rec'd: ""I am the product of an #abortion"" https://t.co/8o9osQQK … h/t @SavitasLaws #prolife #prochoice #Ireland #abortions"
"149",0,"RT @mary_o_regan: Group of medics defend Irish medical guidelines and say they would rather give up medicine than perform an #abortion. http://t.co/CiklMAZk"
"150",1,"#Abortion must be decriminalised and made safely available to women,UN Rapporteur on the #righttohealth has warned.
 http://t.co/EJaUal61"
"151",1,"#Abortion control is more important than #gun control but don't tell the #left that. #liberals #usa #truth #democrats #republicans"
"152",1,"RT @rhrealitycheck: What If We Regulated Guns and Ammunition Like We Regulate #Abortion? http://t.co/MK0qWK95 #guncontrol #Newtown #prochoice #NRA"
"153",-3,".@Forbidden_Truth 

That’s YOUR truth. There is no single truth. As soon as you make #abortion illegal you condemn women to die."
"154",0,"RT @StevenErtelt: Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/ieWapkZX pro-life #abortion #prolife"
"155",0,"RT @StevenErtelt: Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/ieWapkZX pro-life #abortion #prolife"
"156",0,"RT @StevenErtelt: Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/ieWapkZX pro-life #abortion #prolife"
"157",0,"Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/LnC1dUJp pro-life #abortion #prolife"
"158",0,"Looking Back at Coverage of Roe v. Wade on January 1973 http://t.co/ieWapkZX pro-life #abortion #prolife"
"159",-2,"The #Government hates the #People just look at #SOPA, the #PatriotAct, the #NDAA, unjust #wars, #abortion, the #Fed etc etc"
"160",-1,"@TerilynLemaire U can have #abortion,just face up to the Truth u r a murderer.I face up to everything that I am,that's y I'm not a hypocrite"
"161",-1,"RT @HarliceSurel: #abortion linked to 6 times increase in suicide Gissler M, Berg C, Bouvier-Colle MH 2004 Nov;18(6):448-55. #legislateforx #prochoice_ie"
"162",-2,"@flamadiddle This isn't FOXNews. The onus lies with you to justify your claims. Typical anti #abortion rhetoric. #Prochoice is #prolife"
"163",0,"@flamadiddle What's there to ""clarify""? You stand behind equivocating #abortion &amp; the Newtown shooting. I think that says a lot. #Prochoice"
"164",0,"RT @LiveActionFilms: We will do everything we can in 2013 to eradicate #abortion and foster a culture of life. Join us, and save lives. http://t.co/fdqMCNrM"
"165",-2,"Who's a greater coward: the kindergarten murderer or the abortive ""parent""? #newtown #abortion #ideashaveconsequences"
"166",-3,"RT @kimfugginjones: Seeing ppl compare the #Newtown shooting to #abortion pisses me off. Cant u just mourn for their loss instead of comparing it to bullshit?!"
"167",-1,"@TerilynLemaire In support how? U can keep committing the #murder that is #abortion,just don't #demonize #AdamLanza &amp; yr fellow #murderers."
"168",1,"RT @rhrealitycheck: EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
"169",-1,"RT .@crankyfatfem: not the onion: ""#Huckabee Blames ‘Tax-Funded #Abortion Pills’ For #Newtown #Massacre"" http://t.co/czmnA47X"
"170",-1,"#abortion linked to 6 times increase in suicide Gissler M, Berg C, Bouvier-Colle MH 2004 Nov;18(6):448-55. #legislateforx #prochoice_ie"
"171",2,"RT @Blackhall99: #Abortion must be decriminalised and made safely available to women, UN Rapporteur on the Right to Health has warned.
 http://t.co/eRVSR3nV"
"172",0,"Christmas cards for choice http://t.co/dcldCmlp #Savita #abortion #prochoice"
"173",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"174",-1,"RT @Blackhall99: United Nations watchdog 'concerned' for women's health here #savita #abortion Legislation decision expected tomorrow.  http://t.co/eRVSR3nV"
"175",1,"Putting a child up for adoption? Consider http://t.co/SYesVLIN. http://t.co/MGD2c9Bt #adoption #abortion #lds #faith #Jesus #Christ #God"
"176",-1,"United Nations watchdog 'concerned' for women's health here #savita #abortion Legislation decision expected tomorrow.  http://t.co/eRVSR3nV"
"177",2,"RT @Blackhall99: #Abortion must be decriminalised and made safely available to women, UN Rapporteur on the Right to Health has warned.
 http://t.co/eRVSR3nV"
"178",-1,"@dannyfigaro has got to get these marks going. The suspense is killing me. #prohibition #birthcontrol #prostitution #abortion"
"179",2,"#Abortion must be decriminalised and made safely available to women, UN Rapporteur on the Right to Health has warned.
 http://t.co/eRVSR3nV"
"180",1,"RT @rhrealitycheck: EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
"181",1,"RT @rhrealitycheck: What If We Regulated Guns and Ammunition Like We Regulate #Abortion? http://t.co/MK0qWK95 #guncontrol #Newtown #prochoice #NRA"
"182",0,"RT @womensmediacntr: ""Not all bans are created equal."" @AmandaMarcotte on why #abortion and #gunregulation are two different animals | http://t.co/6den3ULL"
"183",-2,"In the midst of tragedy, the hardcore anti-choicers still find something offensive to say: http://t.co/fuMgURaD #prochoice #abortion"
"184",-1,"@TerilynLemaire Only 1 set of circumstances can #sanely #justify the #murder of #abortion,to save/protect physical health/life of woman."
"185",0,"RT @LiveActionFilms: We will do everything we can in 2013 to eradicate #abortion and foster a culture of life. Join us, and save lives. http://t.co/fdqMCNrM"
"186",-1,"RT @LifeDynamicsInc: Big #Prolife #Abortion Project about to unveil  on #LifeTalk in Jan. Don't miss it  ! http://t.co/fW2b2oDx"
"187",0,"RT @LiveActionFilms: We will do everything we can in 2013 to eradicate #abortion and foster a culture of life. Join us, and save lives. http://t.co/fdqMCNrM"
"188",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"189",0,"We will do everything we can in 2013 to eradicate #abortion and foster a culture of life. Join us, and save lives. http://t.co/fdqMCNrM"
"190",0,"@IrelandsEar here is #anandgrover's 2010 statement http://t.co/u01VTi3X #prolife #philippines #rhbill #abortion"
"191",1,"RT @ProChoiceMN: RT @RHRealitycheck What If We Regulated Guns and Ammunition Like We Regulate #Abortion? http://t.co/1m7LOt9Y #guncontrol #prochoice"
"192",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"193",0,"@IrelandsEar http://t.co/KRsDlXM8  #prolife #philippines #rhbill #abortion #unitednations #anandgrover"
"194",0,"@TerilynLemaire Any1 who supports #abortion when the physical #health or #life of the #pregnant woman is not directly at #risk."
"195",1,"RT @rhrealitycheck: EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
"196",0,"RT @kevinhuguley: And the second you want to push back &amp; debate when life begins, I DARE you to google some images of #abortion.

I dare you."
"197",0,"RT @PPact: #TX Gov. Rick Perry: Outlawing All Access To #Abortion Is ‘My Goal’ http://t.co/UWk2448R via @ThinkProgress"
"198",0,"@LifeDynamicsInc about to unveil #abortion project. Get the scoop, sign up F/Life Talk @LifeTalkDVD.com  Hosts @JillStanek  @frfrankpavone"
"199",1,"RT @rhrealitycheck: EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
"200",-1,"Big #Prolife #Abortion Project about to unveil  on #LifeTalk in Jan. Don't miss it  ! http://t.co/fW2b2oDx"
"201",0,"RT @JaySekulow: Court upheld the rights of #prolife pharmacy owners to refuse to stock #abortion pills http://t.co/uXFxa1Ks #ReligiousLiberty @ACLJ"
"202",1,"@PaAndBufford your son is like a @martysugar match #abortion #goldencoathanger"
"203",1,"RT @Forbidden_Truth: Attn:#abortion lovers,#warmongerers,animal #hunters,death penalty supporters or euthanasists:U support 1 form of #murder,u must support all."
"204",-1,"RT @StevenErtelt: Dominos Pizza Founder Sues Obama Admin Over HHS Mandate http://t.co/VSrBchcT #abortion #prolife #tcot"
"205",1,"RT @rhrealitycheck: EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
"206",-1,"RT @firstlady10000: @CoraSherlock @FineGaelToday #Abortion has thrown Fianna fail a lifeline #marian"
"207",0,"RT @PPact: #TX Gov. Rick Perry: Outlawing All Access To #Abortion Is ‘My Goal’ http://t.co/UWk2448R via @ThinkProgress"
"208",1,"RT @LilaGraceRose: How many #prolife doctors will give up medicine if #abortion is forced on them? Will pro-aborts say ""good riddance""? http://t.co/uw2AH0gU"
"209",1,"EXCLUSIVE: If #TX succeeds in banning late-term #abortion, the women who need them may become criminals. http://t.co/1MFQFiXn"
